赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2017,4,13,斯旺西,伯恩茅斯,0,0,0,0
2017,4,13,纽卡斯尔联,沃特福德,0,3,0,2
2017,4,13,托特纳姆热刺,西布罗姆维奇,1,1,0,1
2017,4,13,曼彻斯特联,布赖顿霍夫,1,0,0,0
2017,4,13,水晶宫,斯托克城,2,1,0,0
2017,4,14,布赖顿霍夫,水晶宫,0,0,0,0
2017,4,12,西布罗姆维奇,切尔西,0,4,0,3
2017,4,12,利物浦,南安普敦,3,0,2,0
2017,4,12,阿森纳,托特纳姆热刺,2,0,2,0
2017,4,17,利物浦,西布罗姆维奇,0,0,0,0
2017,4,11,南安普敦,伯恩利,0,1,0,0
2017,4,11,斯旺西,布赖顿霍夫,0,1,0,1
2017,4,11,斯托克城,莱切斯特城,2,2,1,1
2017,4,13,西汉姆联,莱切斯特城,1,1,1,1
2017,4,17,曼彻斯特联,伯恩茅斯,1,0,1,0
2017,4,17,托特纳姆热刺,布赖顿霍夫,2,0,1,0
2017,4,17,西汉姆联,阿森纳,0,0,0,0
2017,4,17,南安普敦,莱切斯特城,1,4,0,3
2017,4,17,纽卡斯尔联,埃弗顿,0,1,0,1
2017,4,17,斯旺西,曼彻斯特城,0,4,0,2
2017,4,17,哈德斯菲尔德,切尔西,1,3,0,2
2017,4,15,曼彻斯特城,西汉姆联,2,1,0,1
2017,4,16,曼彻斯特联,曼彻斯特城,1,2,1,1
2017,4,17,水晶宫,沃特福德,2,1,0,1
2017,4,17,伯恩利,斯托克城,1,0,0,0
2017,4,15,伯恩茅斯,南安普敦,1,1,1,0
2017,4,15,阿森纳,曼彻斯特联,1,3,0,2
2017,4,15,沃特福德,托特纳姆热刺,1,1,1,1
2017,4,15,斯托克城,斯旺西,2,1,2,1
2017,4,15,埃弗顿,哈德斯菲尔德,2,0,0,0
2017,4,15,莱切斯特城,伯恩利,1,0,1,0
2017,4,15,西布罗姆维奇,水晶宫,0,0,0,0
2017,4,15,布赖顿霍夫,利物浦,1,5,0,2
2017,4,15,切尔西,纽卡斯尔联,3,1,2,1
2017,4,16,利物浦,埃弗顿,1,1,1,0
2017,4,16,南安普敦,阿森纳,1,1,1,0
2017,4,16,纽卡斯尔联,莱切斯特城,2,3,1,1
2017,4,16,水晶宫,伯恩茅斯,2,2,2,2
2017,4,16,伯恩利,沃特福德,1,0,1,0
2017,4,16,斯旺西,西布罗姆维奇,1,0,0,0
2017,4,16,哈德斯菲尔德,布赖顿霍夫,2,0,2,0
2017,4,16,托特纳姆热刺,斯托克城,5,1,1,0
2017,4,16,西汉姆联,切尔西,1,0,1,0
2017,4,18,埃弗顿,斯旺西,3,1,1,1
2017,4,18,伯恩茅斯,利物浦,0,4,0,3
2017,4,18,西布罗姆维奇,曼彻斯特联,1,2,0,2
2017,4,18,曼彻斯特城,托特纳姆热刺,4,1,1,0
2017,4,18,斯托克城,西汉姆联,0,3,0,1
2017,4,18,布赖顿霍夫,伯恩利,0,0,0,0
2017,4,18,沃特福德,哈德斯菲尔德,1,4,0,2
2017,4,20,水晶宫,阿森纳,2,3,0,1
2017,4,18,阿森纳,纽卡斯尔联,1,0,1,0
2017,4,18,切尔西,南安普敦,1,0,1,0
2017,4,18,莱切斯特城,水晶宫,0,3,0,2
2017,4,20,纽卡斯尔联,曼彻斯特城,0,1,0,1
2017,4,20,利物浦,斯旺西,5,0,1,0
2017,4,20,沃特福德,莱切斯特城,2,1,1,1
2017,4,20,西布罗姆维奇,埃弗顿,0,0,0,0
2017,4,20,伯恩茅斯,西汉姆联,3,3,1,1
2017,4,20,曼彻斯特联,伯恩利,2,2,0,2
2017,4,20,切尔西,布赖顿霍夫,2,0,0,0
2017,4,20,哈德斯菲尔德,斯托克城,1,1,1,0
2017,4,20,托特纳姆热刺,南安普敦,5,2,2,0
2017,4,19,莱切斯特城,曼彻斯特联,2,2,1,1
2017,4,21,托特纳姆热刺,西汉姆联,1,1,0,0
2017,4,19,伯恩利,托特纳姆热刺,0,3,0,1
2017,4,19,西汉姆联,纽卡斯尔联,2,3,1,1
2017,4,19,曼彻斯特城,伯恩茅斯,4,0,1,0
2017,4,19,南安普敦,哈德斯菲尔德,1,1,1,0
2017,4,19,布赖顿霍夫,沃特福德,1,0,0,0
2017,4,19,斯托克城,西布罗姆维奇,3,1,2,0
2017,4,19,斯旺西,水晶宫,1,1,0,0
2017,4,19,埃弗顿,切尔西,0,0,0,0
2017,4,21,西布罗姆维奇,阿森纳,1,1,0,0
2017,4,21,水晶宫,曼彻斯特城,0,0,0,0
2017,4,21,曼彻斯特联,南安普敦,0,0,0,0
2017,4,21,沃特福德,斯旺西,1,2,1,0
2017,4,21,伯恩茅斯,埃弗顿,2,1,1,0
2017,4,21,哈德斯菲尔德,伯恩利,0,0,0,0
2017,4,22,阿森纳,切尔西,2,2,0,0
2017,4,24,斯旺西,利物浦,1,0,1,0
2017,4,25,托特纳姆热刺,曼彻斯特联,2,0,2,0
2017,4,19,阿森纳,利物浦,3,3,0,1
2017,4,21,纽卡斯尔联,布赖顿霍夫,0,0,0,0
2017,4,21,切尔西,斯托克城,5,0,3,0
2017,4,21,利物浦,莱切斯特城,2,1,0,1
2017,4,22,曼彻斯特城,沃特福德,3,1,2,0
2017,4,22,斯旺西,托特纳姆热刺,0,2,0,1
2017,4,22,南安普敦,水晶宫,1,2,1,0
2017,4,22,西汉姆联,西布罗姆维奇,2,1,0,1
2017,4,22,埃弗顿,曼彻斯特联,0,2,0,0
2017,4,22,莱切斯特城,哈德斯菲尔德,3,0,0,0
2017,4,24,南安普敦,托特纳姆热刺,1,1,1,1
2017,4,24,曼彻斯特城,纽卡斯尔联,3,1,1,0
2017,4,24,西汉姆联,伯恩茅斯,1,1,0,0
2017,4,24,斯托克城,哈德斯菲尔德,2,0,0,0
2017,4,24,莱切斯特城,沃特福德,2,0,1,0
2017,4,24,埃弗顿,西布罗姆维奇,1,1,0,1
2017,4,24,阿森纳,水晶宫,4,1,4,0
2017,4,24,伯恩利,曼彻斯特联,0,1,0,0
2017,4,25,斯托克城,沃特福德,0,0,0,0
2017,4,25,曼彻斯特城,西布罗姆维奇,3,0,1,0
2017,4,25,埃弗顿,莱切斯特城,2,1,2,0
2017,4,25,切尔西,伯恩茅斯,0,3,0,0
2017,4,25,南安普敦,布赖顿霍夫,1,1,0,1
2017,4,23,曼彻斯特联,斯托克城,3,0,2,0
2017,4,22,斯托克城,纽卡斯尔联,0,1,0,0
2017,4,22,伯恩利,利物浦,1,2,0,0
2017,4,22,布赖顿霍夫,伯恩茅斯,2,2,1,1
2017,4,24,布赖顿霍夫,切尔西,0,4,0,2
2017,4,25,纽卡斯尔联,伯恩利,1,1,0,0
2017,4,25,哈德斯菲尔德,利物浦,0,3,0,2
2017,4,25,西汉姆联,水晶宫,1,1,1,1
2017,4,25,斯旺西,阿森纳,3,1,1,1
2017,4,23,利物浦,曼彻斯特城,4,3,1,1
2017,4,23,伯恩茅斯,阿森纳,2,1,0,0
2017,4,23,托特纳姆热刺,埃弗顿,4,0,1,0
2017,4,23,西布罗姆维奇,布赖顿霍夫,2,0,1,0
2017,4,23,水晶宫,伯恩利,1,0,1,0
2017,4,23,纽卡斯尔联,斯旺西,1,1,0,0
2017,4,23,沃特福德,南安普敦,2,2,0,2
2017,4,23,切尔西,莱切斯特城,0,0,0,0
2017,4,23,哈德斯菲尔德,西汉姆联,1,4,1,1
2017,4,26,沃特福德,切尔西,4,1,1,0
2017,4,26,利物浦,托特纳姆热刺,2,2,1,0
2017,4,26,水晶宫,纽卡斯尔联,1,1,0,1
2017,4,26,阿森纳,埃弗顿,5,1,4,0
2017,4,26,布赖顿霍夫,西汉姆联,3,1,1,1
2017,4,26,莱切斯特城,斯旺西,1,1,1,0
2017,4,26,西布罗姆维奇,南安普敦,2,3,1,2
2017,4,26,曼彻斯特联,哈德斯菲尔德,2,0,0,0
2017,4,26,伯恩茅斯,斯托克城,2,1,0,1
2017,4,26,伯恩利,曼彻斯特城,1,1,0,1
2017,4,27,切尔西,西布罗姆维奇,3,0,1,0
2017,4,27,南安普敦,利物浦,0,2,0,2
2017,4,27,纽卡斯尔联,曼彻斯特联,1,0,0,0
2017,4,27,哈德斯菲尔德,伯恩茅斯,4,1,2,1
2017,4,27,曼彻斯特城,莱切斯特城,5,1,1,1
2017,4,27,西汉姆联,沃特福德,2,0,1,0
2017,4,27,斯旺西,伯恩利,1,0,0,0
2017,4,27,埃弗顿,水晶宫,3,1,0,0
2017,4,27,斯托克城,布赖顿霍夫,1,1,0,1
2017,4,27,托特纳姆热刺,阿森纳,1,0,0,0
2017,4,31,西汉姆联,曼彻斯特联,0,0,0,0
2017,4,28,阿森纳,曼彻斯特城,0,3,0,3
2017,4,29,水晶宫,曼彻斯特联,2,3,1,0
2017,4,31,托特纳姆热刺,纽卡斯尔联,1,0,0,0
2017,4,31,曼彻斯特城,布赖顿霍夫,3,1,2,1
2017,4,31,莱切斯特城,阿森纳,3,1,1,0
2017,4,31,斯旺西,南安普敦,0,1,0,0
2017,4,31,伯恩利,切尔西,1,2,0,1
2017,4,31,利物浦,沃特福德,5,0,2,0
2017,4,31,哈德斯菲尔德,水晶宫,0,2,0,1
2017,4,31,伯恩茅斯,西布罗姆维奇,2,1,0,0
